SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
los reyes,54660,coyotepec,edomex,19.775573,-99.20721635,19.7752211,-99.2072126,54660
santiago tequixquiac centro,55650,tequixquiac,cdmx,19.9100955,-99.1477318,19.9100955,-99.1477318,55650
san pedro el chico,7480,gustavo a madero,cdmx,19.4721484,-99.0966338,19.4720706,-99.0972012,7480
la conchita,12110,milpa alta,cdmx,19.20943325,-98.97093315,19.2094755,-98.970772,12110
palo semita,42290,chapulhuacan,edomex,21.1057999,-98.99966465,21.1056242,-99.0014971,42290
merced balbuena,15810,venustiano carranza,cdmx,19.42032555,-99.12393395,19.4205826,-99.1248628,15810
cadada de onofres,54400,isidro fabela,edomex,19.626814,-99.3165998,19.6262602,-99.3163346,54400
buenavista,56880,tepetlixpa,cdmx,19.0259146,-98.82555465,19.0261282,-98.8255947,56880
pro vivienda,55783,jaltenco,edomex,19.66415275,-99.06752555,19.6598414,-99.06596960000002,55783
tlaxcalantongo de venustiano c,73097,xicotepec,cdmx,20.31416245,-97.87125845,20.3137788,-97.8714798,73097
el globo,54410,nicolas romero,edomex,19.6264272,-99.29538135,19.6266017,-99.2955381,54410
benito juarez,54942,tultitlan,cdmx,19.61021765,-99.16331445,19.609535,-99.1694197,54942
san andres atenco,54040,tlalnepantla de baz,edomex,19.54218005,-99.2189894,19.5418082,-99.2182913,54040
zozocolco de hidalgo,93000,zozocolco de hidalgo,cdmx,20.14045925,-97.57614685,20.1400074,-97.5750164,93000
puente grande,54680,huehuetoca,cdmx,19.827596349999997,-99.20329795,19.8279795,-99.2032322,54680
ampliacion romero seccion las,57600,nezahualcoyotl,edomex,19.4040106,-99.03675155,19.4043883,-99.0363795,57600
jardines de casa nueva,55430,ecatepec de morelos,edomex,19.55200845,-99.04396955,19.551344,-99.0446706,55430
anahuac ii seccion,11320,miguel hidalgo,edomex,19.4415198,-99.1755124,19.4415198,-99.1755124,11320
paseos de lago ii,55607,zumpango,edomex,19.79276005,-99.0668912,19.7926994,-99.0674757,55607
mazatla,56050,papalotla,edomex,19.5636878,-98.85791965,19.5639366,-98.8579862,56050
ampliacion san pedro xalpa,2719,azcapotzalco,edomex,19.47890275,-99.2169037,19.4778276,-99.2162139,2719
agricola francisco i. madero,52172,metepec,cdmx,19.2829695,-99.5696083,19.2831502,-99.5698972,52172
la pastora,7290,gustavo a madero,edomex,19.52628105,-99.1386872,19.5290566,-99.1359301,7290
santo tomas atzingo,56730,tlalmanalco,cdmx,19.17095085,-98.78081845,19.17376,-98.7799765,56730
tonalapa,73650,tetela de ocampo,edomex,19.8140127,-97.87867885,19.8134341,-97.8805157,73650
copalera,56337,chimalhuacan,edomex,19.3928043,-98.94359735,19.3941701,-98.9452344,56337
las americas,55076,ecatepec de morelos,edomex,19.5862577,-99.01102695,19.5837531,-99.0156554,55076
emiquia,54965,tultepec,edomex,19.6974579,-99.12707145,19.6971782,-99.1265919,54965
potrero del rey,55029,venustiano carranza,cdmx,19.64851915,-99.06282315,19.6488127,-99.0629832,55029
acuitlapilco segunda seccion,56335,chimalhuacan,edomex,19.4377754,-98.9360999,19.4377754,-98.9360999,56335
dextho de victoria,42644,san salvador,cdmx,20.3225213,-99.0208408,20.3253328,-99.0225628,42644
sauces,55635,zumpango,cdmx,19.81427375,-99.0454479,19.8142235,-99.045195,55635
xoquimiquia,54880,melchor ocampo,edomex,19.70165735,-99.150161,19.7008566,-99.1483827,54880
ixtapan de la sal,51900,ixtapan de la sal,edomex,18.84444355,-99.67649095000002,18.8447464,-99.6764263,51900
san juan de aragon ii seccion,7910,gustavo a madero,cdmx,19.4735613,-99.0751507,19.4731826,-99.0750788,7910
real de san martin,56614,valle de chalco solidaridad,cdmx,19.2639659,-98.9340202,19.2639659,-98.9340202,56614
santa ursula coapa,4600,coyoacan,cdmx,19.30800725,-99.14985405,19.3082281,-99.1505207,4600
santa barbara,54665,coyotepec,edomex,19.79291,-99.19346795,19.7943257,-99.1940586,54665
la aldea,58300,morelia,edomex,19.74626325,-101.13984275,19.7404837,-101.1419185,58300
ampliacion tezoyuca,56010,tezoyuca,cdmx,19.5846413,-98.92345125,19.5846441,-98.9238444,56010
huapango,50510,timilpan,edomex,19.9736412,-99.6881725,19.9710782,-99.6940104,50510
cantaros iii,54416,nicolas romero,cdmx,19.63131045,-99.2885322,19.631084,-99.2894375,54416
santa cruz huitzizilapan,52050,lerma,edomex,19.3979294,-99.44753765,19.3970716,-99.4482592,52050
jardines de morelos seccion ri,55070,ecatepec de morelos,edomex,19.6022094,-99.0021194,19.6019963,-99.0046048,55070
rancho don antonio,43800,tizayuca,edomex,19.84028535,-98.9795276,19.839874,-98.9804371,43800
coamilpa de juarez (el colero),52653,tianguistenco,edomex,19.1976668,-99.4451427,19.1976668,-99.4451427,52653
pedregal de san nicolas 1a sec,14100,tlalpan,cdmx,19.27513515,-99.23895765,19.2770383,-99.2422026,14100
ampliacion tepepan,16029,xochimilco,cdmx,19.264068,-99.1349753,19.2647278,-99.1338549,16029
guadalupe,56030,chiautla,edomex,19.5474113,-98.87699035,19.5480853,-98.8771012,56030
la cadada,52073,xonacatlan,edomex,19.41749375,-99.47570389999998,19.4201713,-99.4769923,52073
ejido de tecamac,55748,tecamac,cdmx,19.6894748,-98.9697781,19.6894748,-98.9697781,55748
ejidal adolfo lopez mateos,55650,tequixquiac,edomex,19.90653895,-99.1586274,19.9010721,-99.1539178,55650
chosto de los jarros,50466,atlacomulco,edomex,19.86231235,-99.90501735,19.8617346,-99.9055281,50466
tetela del volcan,62800,tetela del volcan,cdmx,18.9000253,-98.73326495,18.8937355,-98.7291895,62800
tercera manzana de zaragoza,50509,timilpan,edomex,19.89987215,-99.74991695,19.899494,-99.7504434,50509
moderna,3510,benito juarez,edomex,19.39511845,-99.1346422,19.3965929,-99.1331631,3510
san juan barrio san juan,54660,coyotepec,cdmx,19.775573,-99.20721635,19.7752211,-99.2072126,54660
ampliacion selene,13430,tlahuac,cdmx,19.2867859,-98.99477665,19.2863979,-98.9942463,13430
campestre liberacion,54473,nicolas romero,edomex,19.5984109,-99.2767886,19.5977518,-99.2764794,54473
electra,54060,tlalnepantla de baz,edomex,19.5272469,-99.2160959,19.5272469,-99.2160959,54060
san jeronimo tecoatl,68550,san jeronimo tecoatl,cdmx,18.1659837,-96.9152129,18.1653922,-96.9124981,68550
barrio san jacinto,56970,atlautla,edomex,19.03211015,-98.7826684,19.0315304,-98.7818531,56970
san miguel,9360,iztapalapa,edomex,19.3566198,-99.07641365,19.3579802,-99.0806088,9360
citara huehuetoca,54680,huehuetoca,cdmx,19.83345925,-99.20390325,19.8350298,-99.2051355,54680
moctezuma 2a seccion,15530,venustiano carranza,cdmx,19.4324049,-99.0974964,19.4322179,-99.098584,15530
