SUS_COL,SUS_CP,SUS_DEL,NOM_ENT,lat_centro,lng_centro,lat_principal,lng_principal,postal_code_api
la guadalupana bicentenario hu,54694,huehuetoca,cdmx,19.3907336,-99.14361265,19.4326077,-99.133208,
anahuac i seccion,11320,miguel hidalgo,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san juan de aragon,7920,gustavo a madero,cdmx,19.46941155,-99.08731635,19.4686303,-99.0923614,
la concepcion (villa milpa alt,12000,milpa alta,cdmx,19.18840315,-99.02017085,19.1864099,-99.0204906,
los heroes,56585,ixtapaluca,cdmx,19.32738755,-98.8765405,19.3255414,-98.8721186,
canteros,56356,chimalhuacan,edomex,19.4213643,-98.97863415,19.4212361,-98.9790563,
renovacion,9209,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
el parque,5400,ecatepec de morelos,edomex,19.56887935,-99.0629163,19.5688298,-99.0633288,
lomas de puerta grande,1630,alvaro obregon,cdmx,19.3577432,-99.23310035,19.3580574,-99.2324881,
ecatepec,55070,benito juarez,edomex,19.5987115,-99.02411725,19.5978417,-99.0245443,
sierra hermosa,55749,tecamac,cdmx,19.691787750000003,-99.0006589,19.6894655,-98.9949368,
san pablo tecalco,55747,tecamac,edomex,19.67302265,-98.95955925,19.6738829,-98.9589883,
olimpiada 68 (san rafael chama,53690,naucalpan de juarez,cdmx,19.44652615,-99.2842365,19.4471389,-99.2834093,
cuchilla del moral,9319,iztapalapa,edomex,19.3851571,-99.07126415,19.3851411,-99.0714499,
san francisco tlalnepantla,16900,xochimilco,cdmx,19.2048509,-99.12107005,19.199782,-99.1220962,
ampliacion ciudad lago el tria,57185,nezahualcoyotl,cdmx,19.4632667,-99.04039625,19.4638959,-99.039834,
san lorenzo totolinga,53426,naucalpan de juarez,cdmx,19.46154025,-99.2638301,19.4606891,-99.2633141,
el molinito,53530,naucalpan de juarez,edomex,19.4573707,-99.2369427,19.4579914,-99.2368196,
los olivos,55748,tecamac,edomex,19.68096195,-98.973708,19.6817266,-98.972843,
arenal 4a seccion,15640,venustiano carranza,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
los manantiales,54413,nicolas romero,edomex,19.61762735,-99.3090848,19.6181305,-99.3097485,
unidad ermita zaragoza,9180,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san juan,55600,zumpango,cdmx,19.8022813,-99.1058504,19.7988711,-99.1054986,
ex-ejido de santa ursula coapa,4980,coyoacan,cdmx,19.30826605,-99.1296896,19.3076478,-99.1297045,
el arbolillo ctm,7269,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
san juan de aragon,7979,gustavo a madero,cdmx,19.46941155,-99.08731635,19.4686303,-99.0923614,
1a ampliacion presidentes,1298,alvaro obregon,cdmx,19.3744832,-99.22835455,19.3748551,-99.2279864,
isidro fabela,1160,alvaro obregon,cdmx,19.3863277,-99.2079769,19.3863431,-99.2084243,
san francisco dos rios,52790,huixquilucan,edomex,19.37280125,-99.34751135,19.372522,-99.3473219,
la presa (tejocote),53217,naucalpan de juarez,edomex,19.4861886,-99.28794564999998,19.485729,-99.2884339,
geobillas ixtapaluca 2000,56570,ixtapaluca,edomex,19.31767685,-98.8962591,19.3177697,-98.8963379,
ejidal san isidro,54763,cuautitlan izcalli,edomex,19.61591945,-99.2093529,19.6159072,-99.2099821,
tequexquinahuac,54020,tlalnepantla de baz,cdmx,19.56009725,-99.2051349,19.5601972,-99.2044432,
ampliacion tecamachalco,56500,la paz,cdmx,24.1155707,-110.3081641,24.1426408,-110.3127531,
bellavista,1140,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
lomas de san carlos,55089,ecatepec de morelos,edomex,19.5786853,-99.05385725,19.5796343,-99.0536536,
los reyes,2010,azcapotzalco,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
2o reacomodo tlacuitlapa,1650,alvaro obregon,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
campo militar san miguel jague,54697,huehuetoca,edomex,19.82224815,-99.25895575,19.8265855,-99.2034407,
san mateo tecalco,55748,tecamac,edomex,19.6780905,-98.9685688,19.6782822,-98.9680108,
san lorenzo tlacoyucan,12500,milpa alta,cdmx,19.17700445,-99.03341755,19.1762578,-99.0322342,
santa cruz,55770,tecamac,edomex,19.65845505,-99.00911195,19.6585123,-99.0094393,
adolfo lopez mateos,54070,tlalnepantla de baz,edomex,19.518788099999995,-99.23917945,19.5210882,-99.2403032,
jardines del llano,1540,tlahuac,cdmx,19.230397,-98.9887714,19.2299193,-98.9894128,
san martin tepetlixpan,54763,cuautitlan izcalli,edomex,19.6180727,-99.20135915,19.6176845,-99.2004623,
san miguel,55650,tequixquiac,edomex,19.8739165,-99.1341509,19.8716666,-99.1322222,
el salado,56310,atenco,edomex,19.58375855,-98.98296855,19.5842813,-98.9756044,
ejidos de santa maria tulpleta,55050,ecatepec de morelos,edomex,19.5730766,-99.0307882,19.573024,-99.0311979,
san jose buenavista,9700,iztapalapa,cdmx,19.3241933,-99.0335063,19.3241927,-99.0343068,
emiliano zapata,53660,naucalpan de juarez,edomex,19.4517087,-99.2787316,19.4507738,-99.2776483,
santa martha (villa milpa alta,12000,milpa alta,cdmx,19.19987855,-99.02950065,19.1985544,-99.0280892,
san marcos,2020,azcapotzalco,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
valle verde,56577,ixtapaluca,cdmx,19.31227435,-98.91378085,19.3109604,-98.9141864,
forestal i,7140,gustavo a madero,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
ninos heroes,3440,benito juarez,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
paseos de izcalli,54719,cuautitlan izcalli,edomex,19.6950248,-99.21991385,19.6944589,-99.2227925,
la cascada,1480,alvaro obregon,cdmx,19.3700711,-99.19921145,19.3695105,-99.1990777,
el caracol,4301,coyoacan,cdmx,19.30475615,-99.1634758,19.3037355,-99.1636051,
cabeza de juarez,9227,iztapalapa,edomex,19.32640465,-99.60497885,19.4968732,-99.7232673,
